Chromosome	Start	End	Strand	Gene	Transcription_Start_Site
chr11	6200029	6201643	+	A730071L15Rik	6200029
chr3	122913070	122919360	-	Gm10959	122919360
chr19	46328184	46330446	+	Fbxl15	46328184
chr19	46328184	46330446	+	Fbxl15	46328187
chrY	74623896	74624978	+	Gm21913	74623896
chr15	99702176	99705490	-	Gm17349	99705490
chr6	115227343	115259294	+	Gm17482	115227343
chr9	3034599	3035805	+	Gm17535	3034599
chr17	21691860	21692114	+	Gm10226	21691860
chr17	86497732	86505232	-	Gm10309	86505232
chrGL456210.1	108390	110303	-	AC125149.5	110303
chr10	79910856	79911140	+	Gm26602	79910856
chr4	88721805	88722842	+	Gm26566	88721805
chr8	72213494	72213636	-	Gm11034	72213636
chr1	171895664	171898237	+	Gm10521	171895664
chr2	150178882	150179679	-	Gm10770	150179679
chr9	3023547	3025218	+	Gm10718	3023547
chrY	13132950	13133492	-	Gm21891	13133492
chr13	23099071	23100129	+	Vmn1r216	23099071
chrY	17845724	17846266	-	Gm21904	17846266
chr11	62753100	62753498	+	Gm10428	62753100
chr13	65512678	65512848	+	Gm10139	65512678
chrJH584299.1	477246	480331	+	Gm16367	477246
chrJH584299.1	921942	924675	+	AC133095.1	921942
chrGL456233.1	10738	39148	-	Vamp7	39148
chrJH584293.1	60162	60827	-	Ccl21b	60827
chr6	149130170	149130710	+	Gm10203	149130170
chrGL456212.1	31967	34932	-	AC168977.2	34932
chr3	54713176	54714353	-	Gm21958	54714353
chrY	24795161	24796243	-	Gm21921	24796243
chr1	85575676	85577295	+	G530012D18Rik	85575676
chrJH584294.1	137009	137560	+	Gm10931	137009
chr8	84063561	84065137	-	Gm10643	84065137
chr1	133321875	133329901	+	Kiss1	133321875
chr1	133321875	133329901	+	Kiss1	133327212
chr17	80373218	80373541	-	Gm10190	80373541
chr8	12278819	12280657	+	A230072I06Rik	12278819
chr17	39042634	39043341	-	Gm21903	39043341
chrY	18061270	18061812	-	Gm21764	18061812
chr5	72965808	72974702	-	Gm10135	72974702
chr3	55461985	55472210	-	Gm21954	55472210
chr9	3017408	3021593	+	Gm10719	3017408
chr9	3017408	3021593	+	Gm10719	3018753
chr9	3017408	3021593	+	Gm10719	3020155
chr16	10812915	10812994	+	Gm11172	10812915
chr9	124493731	124493793	-	Gm21836	124493793
chrGL456350.1	23801	25222	-	AC087559.3	25222
chr2	98666547	98667301	-	Gm10800	98667301
chr1	173747293	173766943	-	Ifi204	173766919
chr9	21723483	21749919	+	Ldlr	21723483
chr9	21723483	21749919	+	Ldlr	21723632
chr9	46268633	46271919	+	Apoa5	46268633
chr9	46268633	46271919	+	Apoa5	46269078
chr1	127814791	127855031	-	Map3k19	127855031
chr1	127814791	127855031	-	Map3k19	127840320
chr1	127814791	127855031	-	Map3k19	127840321
chr1	127814791	127855031	-	Map3k19	127840290
chr15	79346621	79359076	+	Maff	79346621
chr15	79346621	79359076	+	Maff	79347520
chr15	79346621	79359076	+	Maff	79348064
chr15	79346621	79359076	+	Maff	79348402
chr8	27197459	27223828	-	Got1l1	27202547
chr8	27197459	27223828	-	Got1l1	27223828
chr10	96136603	96136914	+	Gm5426	96136603
chr1	176733653	176814067	-	Cep170	176755333
chr1	176733653	176814067	-	Cep170	176814067
chr1	176733653	176814067	-	Cep170	176793609
chr1	176733653	176814067	-	Cep170	176756516
chr1	176733653	176814067	-	Cep170	176750160
chr1	176733653	176814067	-	Cep170	176782300
chr1	176733653	176814067	-	Cep170	176807124
chr19	21778342	21858360	+	Cemip2	21778358
chr19	21778342	21858360	+	Cemip2	21778368
chr19	21778342	21858360	+	Cemip2	21778342
chrX	102119447	102127669	+	Pin4	102119447
chr2	172472520	172474331	+	Fam209	172472520
chr11	97663414	97685463	+	Mllt6	97663414
chr11	97663414	97685463	+	Mllt6	97663572
chr13	74692368	74808810	-	Cast	74770736
chr13	74692368	74808810	-	Cast	74808810
chr13	74692368	74808810	-	Cast	74770649
chr13	74692368	74808810	-	Cast	74770590
chr13	74692368	74808810	-	Cast	74807939
chr13	74692368	74808810	-	Cast	74734261
chr13	74692368	74808810	-	Cast	74734231
chr13	74692368	74808810	-	Cast	74808521
chr17	53479234	53507680	+	Rab5a	53479234
chr5	147561604	147726011	-	Flt1	147726011
chr5	147561604	147726011	-	Flt1	147725988
chr11	94936224	94953042	+	Col1a1	94936224
chrX	109004534	109013404	-	Hmgn5	109013404
chrX	102141716	102157091	-	Ercc6l	102157091
chr14	63992506	64035025	+	Rp1l1	63992506
chr1	171225054	171226379	+	Apoa2	171225054
chr1	171225054	171226379	+	Apoa2	171225082
chr1	171225054	171226379	+	Apoa2	171225084
chr1	171225054	171226379	+	Apoa2	171225091
chr7	85944614	85961629	-	Vmn2r74	85961629
chr14	47387779	47418407	-	Dlgap5	47418407
chr14	47387779	47418407	-	Dlgap5	47394253
chr14	47387779	47418407	-	Dlgap5	47418177
chr14	47387779	47418407	-	Dlgap5	47411666
chr17	53507460	53539451	-	Pp2d1	53539451
chr17	28399094	28517527	-	Fkbp5	28486149
chr17	28399094	28517527	-	Fkbp5	28517524
chr17	28399094	28517527	-	Fkbp5	28511357
chr17	28399094	28517527	-	Fkbp5	28486093
chr17	28399094	28517527	-	Fkbp5	28441722
chr17	28399094	28517527	-	Fkbp5	28441714
chrX	102184941	102189394	-	Rps4x	102189394
chr16	92301286	92313041	+	Smim11	92301286
chr16	92301286	92313041	+	Smim11	92301296
chr5	113793729	113800516	-	Tmem119	113800516
chr5	113793729	113800516	-	Tmem119	113800446
chr3	129677565	129755316	-	Egf	129755316
chr3	129677565	129755316	-	Egf	129725087
chr3	129677565	129755316	-	Egf	129725077
chr3	115938973	116007406	-	Slc30a7	116007406
chr3	135825279	135888572	+	Slc39a8	135825279
chr3	135825279	135888572	+	Slc39a8	135826090
chr3	135825279	135888572	+	Slc39a8	135825790
chr3	135825279	135888572	+	Slc39a8	135825657
chrX	109095365	109197873	+	Sh3bgrl	109095365
chr3	107612532	107631694	-	Strip1	107631694
chr12	98429437	98578310	-	Kcnk10	98578310
chr12	98429437	98578310	-	Kcnk10	98575127
chr12	98429437	98578310	-	Kcnk10	98574712
chr6	123821646	123853463	-	Vmn2r25	123853463
chr17	27655509	27711482	+	Pacsin1	27655509
chr17	27655509	27711482	+	Pacsin1	27655548
chr17	27655509	27711482	+	Pacsin1	27655588
chr17	27655509	27711482	+	Pacsin1	27685181
chr17	27655509	27711482	+	Pacsin1	27685197
chr17	27655509	27711482	+	Pacsin1	27685239
chr17	27655509	27711482	+	Pacsin1	27705649
chrX	109196756	109200439	+	Gm6377	109196758
chrX	109196756	109200439	+	Gm6377	109196756
chr14	54426909	54429756	+	Mrpl52	54426909
chr14	54426909	54429756	+	Mrpl52	54426930
chr14	54426909	54429756	+	Mrpl52	54427051
chr6	123778879	123824912	+	Vmn2r24	123778879
chr1	135434580	135688105	-	Nav1	135585705
chr1	135434580	135688105	-	Nav1	135688105
chr1	135434580	135688105	-	Nav1	135467673
chr1	135434580	135688105	-	Nav1	135585355
chr10	80402997	80406830	-	Uqcr11	80406830
chr15	77403789	77411135	-	Apol9a	77411034
chr15	77403789	77411135	-	Apol9a	77411135
chr15	77403789	77411135	-	Apol9a	77406565
chr14	70601263	70636048	-	Dmtn	70627308
chr14	70601263	70636048	-	Dmtn	70627054
chr14	70601263	70636048	-	Dmtn	70635978
chr14	70601263	70636048	-	Dmtn	70618545
chr14	70601263	70636048	-	Dmtn	70630154
chr14	70601263	70636048	-	Dmtn	70628999
chr14	70601263	70636048	-	Dmtn	70626155
chr14	70601263	70636048	-	Dmtn	70636048
chr15	79891659	79915906	+	Apobec3	79891659
chr15	79891659	79915906	+	Apobec3	79891694
chr15	79891659	79915906	+	Apobec3	79892403
chr15	79891659	79915906	+	Apobec3	79892448
chr15	79891659	79915906	+	Apobec3	79892449
chr15	79891659	79915906	+	Apobec3	79895023
chr15	79891659	79915906	+	Apobec3	79895261
chr15	79891659	79915906	+	Apobec3	79900164
chr15	79891659	79915906	+	Apobec3	79900342
chr15	79891659	79915906	+	Apobec3	79892408
chr10	115368404	115384443	-	Thap2	115384435
chr10	115368404	115384443	-	Thap2	115384410
chr10	115368404	115384443	-	Thap2	115384443
chr1	171229572	171234365	-	Fcer1g	171234365
chr1	171229572	171234365	-	Fcer1g	171234307
chr2	35558266	35730994	+	Dab2ip	35622160
chr2	35558266	35730994	+	Dab2ip	35710327
chr2	35558266	35730994	+	Dab2ip	35696732
chr2	35558266	35730994	+	Dab2ip	35581060
chr2	35558266	35730994	+	Dab2ip	35558266
chr2	35558266	35730994	+	Dab2ip	35691994
chr2	35558266	35730994	+	Dab2ip	35622037
chr2	35558266	35730994	+	Dab2ip	35582840
chr2	35558266	35730994	+	Dab2ip	35692333
chr8	85408759	85432833	-	4921524J17Rik	85432833
chr2	155701677	155729475	-	Edem2	155729475
chr2	103453849	103485160	-	Cat	103485160
chr2	103453849	103485160	-	Cat	103485125
chr6	49395604	49469501	+	Stk31	49395604
chr6	49395604	49469501	+	Stk31	49395635
chr6	49395604	49469501	+	Stk31	49438564
chr15	79516411	79527739	+	Kdelr3	79516411
chr5	113818536	113832644	-	Selplg	113819566
chr5	113818536	113832644	-	Selplg	113830501
chr5	113818536	113832644	-	Selplg	113819257
chr5	113818536	113832644	-	Selplg	113819317
chr5	113818536	113832644	-	Selplg	113832644
chr7	49778346	49858265	+	Prmt3	49778346
chr4	110203722	110351909	-	Elavl4	110351909
chr4	110203722	110351909	-	Elavl4	110287527
chr4	110203722	110351909	-	Elavl4	110286889
chr4	110203722	110351909	-	Elavl4	110290272
chr4	110203722	110351909	-	Elavl4	110292722
chr4	110203722	110351909	-	Elavl4	110290893
chr4	110203722	110351909	-	Elavl4	110286616
chr11	115415689	115419962	-	Atp5h	115419917
chr11	115415689	115419962	-	Atp5h	115419962
chr11	115415689	115419962	-	Atp5h	115418741
chr11	115415689	115419962	-	Atp5h	115418507
chr1	191036639	191042942	+	Spata45	191036639
chr1	191036639	191042942	+	Spata45	191036819
chrX	60223290	60592698	-	Atp11c	60592698
chrX	60223290	60592698	-	Atp11c	60403981
chr1	57377620	57385423	+	1700066M21Rik	57377620
chrX	123346764	123378718	+	Gm2411	123346764
chrX	99465734	99471273	-	Pja1	99471273
chrX	99465734	99471273	-	Pja1	99470692
chrX	99465734	99471273	-	Pja1	99470672
chrX	99465734	99471273	-	Pja1	99470687
chrX	99465734	99471273	-	Pja1	99470735
chr3	118562129	119432924	+	Dpyd	118562129
chr3	118562129	119432924	+	Dpyd	118562180
chrX	123576286	123602172	+	Cldn34c2	123576286
chrX	123576286	123602172	+	Cldn34c2	123581700
chr14	64075438	64090162	-	Prss55	64085451
chr14	64075438	64090162	-	Prss55	64085408
chr7	86145286	86171778	-	Vmn2r75	86171778
chr15	76477422	76501913	+	Hsf1	76477435
chr15	76477422	76501913	+	Hsf1	76477445
chr15	76477422	76501913	+	Hsf1	76477574
chr15	76477422	76501913	+	Hsf1	76498236
chr15	76477422	76501913	+	Hsf1	76499966
chr1	173849126	173880881	-	Mndal	173875860
chr1	173849126	173880881	-	Mndal	173880305
chr1	173849126	173880881	-	Mndal	173880111
chr12	118234933	118301440	-	Sp4	118301370
chr12	118234933	118301440	-	Sp4	118301368
chr12	118234933	118301440	-	Sp4	118301440
chr3	153844209	153855082	+	Asb17	153844209
chr13	96648967	96670936	-	Hmgcr	96670936
chr13	96648967	96670936	-	Hmgcr	96652803
chr13	96648967	96670936	-	Hmgcr	96666710
chr13	96648967	96670936	-	Hmgcr	96656667
chr13	96648967	96670936	-	Hmgcr	96670823
chr13	96648967	96670936	-	Hmgcr	96669654
chr13	96648967	96670936	-	Hmgcr	96670482
chr14	64086234	64097678	+	Prss51	64086234
chr14	64086234	64097678	+	Prss51	64093685
chr14	64086234	64097678	+	Prss51	64093696
chr14	64086234	64097678	+	Prss51	64093726
chr3	137931007	137981545	-	Dapp1	137981545
chr3	137931007	137981545	-	Dapp1	137981536
chr3	79336661	79464129	+	Gm17359	79336661
chr3	79336661	79464129	+	Gm17359	79345376
chr3	79336661	79464129	+	Gm17359	79345379
chr3	79455974	79567796	-	Fnip2	79567796
chr3	79455974	79567796	-	Fnip2	79567682
chr3	79455974	79567796	-	Fnip2	79531876
chr1	65282056	65389244	+	Pth2r	65282056
chr1	65282056	65389244	+	Pth2r	65311257
chr17	12584132	12628488	+	Slc22a2	12584132
chr17	12584132	12628488	+	Slc22a2	12584193
chr2	174415804	174427502	+	Nelfcd	174415804
chr2	174415804	174427502	+	Nelfcd	174415851
chr2	127838876	128123873	+	Acoxl	127854628
chr2	127838876	128123873	+	Acoxl	127909058
chr17	53566861	53672720	+	Kat2b	53566971
chr17	53566861	53672720	+	Kat2b	53584126
chr17	53566861	53672720	+	Kat2b	53644697
chrX	48341358	48408049	+	Bcorl1	48341358
chrX	48341358	48408049	+	Bcorl1	48343770
chrX	48341358	48408049	+	Bcorl1	48361620
chrX	48341358	48408049	+	Bcorl1	48369268
chr8	70882889	70892757	-	Slc5a5	70892757
chr5	108729290	108774982	-	Rnf212	108750955
chr5	108729290	108774982	-	Rnf212	108774982
chr5	108729290	108774982	-	Rnf212	108750918
chr5	108729290	108774982	-	Rnf212	108774953
chr5	108729290	108774982	-	Rnf212	108749448
chr3	136053363	136326066	-	Bank1	136326046
chr3	136053363	136326066	-	Bank1	136326066
chr3	136053363	136326066	-	Bank1	136326025
chr7	123214780	123273253	+	Slc5a11	123214780
chr7	123214780	123273253	+	Slc5a11	123214813
chr7	123214780	123273253	+	Slc5a11	123228884
chr7	123214780	123273253	+	Slc5a11	123240323
chr7	123214780	123273253	+	Slc5a11	123235620
chr9	14756587	14771030	-	1700012B09Rik	14771013
chr9	14756587	14771030	-	1700012B09Rik	14771030
chr1	33852052	33907816	-	Bend6	33907768
chr1	33852052	33907816	-	Bend6	33907791
chr1	33852052	33907816	-	Bend6	33907816
chr15	79041885	79043558	+	Galr3	79041885
chr15	77940522	77956722	-	Foxred2	77956722
chr15	77940522	77956722	-	Foxred2	77956675
chr15	79030874	79038353	+	Gcat	79030874
chr15	79030874	79038353	+	Gcat	79033498
chr12	118846329	118852576	+	Sp8	118846329
chr12	118846329	118852576	+	Sp8	118847586
chr11	75768966	75796049	-	Doc2b	75796049
chr18	84838704	84879871	+	Cyb5a	84851338
chr18	84838704	84879871	+	Cyb5a	84851879
chr5	129846986	129864050	+	Sumf2	129846986
chr5	129846986	129864050	+	Sumf2	129847011
chr10	81393051	81395392	+	Smim24	81393051
chr10	81393051	81395392	+	Smim24	81393627
chrX	99821021	99848790	+	Tmem28	99821021
chr11	49543449	49556127	+	Olfr1381	49543449
chr11	49543449	49556127	+	Olfr1381	49551749
chr11	104502745	104550620	-	Cdc27	104550483
chr11	104502745	104550620	-	Cdc27	104550392
chr11	104502745	104550620	-	Cdc27	104550478
chr14	64950045	65039835	+	Ints9	64950045
chr1	85484252	85485142	-	AC147806.1	85485142
chr11	49556878	49565859	+	Olfr1380	49556878
chr11	49556878	49565859	+	Olfr1380	49563923
chr17	12648869	12675829	-	Slc22a1	12675829
chr4	126150602	126163491	-	Sh3d21	126162626
chr4	126150602	126163491	-	Sh3d21	126163491
chr4	57984027	58009124	-	Txndc8	58009124
chr4	57984027	58009124	-	Txndc8	58000310
chr2	54436317	55118309	+	Galnt13	54436317
chr2	54436317	55118309	+	Galnt13	54436387
chr2	54436317	55118309	+	Galnt13	54436491
chr2	54436317	55118309	+	Galnt13	54516540
chrX	8123301	8132892	-	Wdr13	8132808
chrX	8123301	8132892	-	Wdr13	8132770
chrX	8123301	8132892	-	Wdr13	8132820
chrX	8123301	8132892	-	Wdr13	8132845
chr12	30054659	30132624	-	Tpo	30132624
chr12	30054659	30132624	-	Tpo	30131899
chr15	79030901	79042531	+	Gcat	79030901
chr8	85492576	85527560	+	Gpt2	85492576
chr7	139248482	139269903	+	Pwwp2b	139248482
chr7	139248482	139269903	+	Pwwp2b	139248487
chr5	120534153	120588673	-	Tpcn1	120588673
chr17	24473884	24475469	+	Bricd5	24473884
chr17	24473884	24475469	+	Bricd5	24473901
chr17	24473884	24475469	+	Bricd5	24473967
chr2	174427493	174439039	-	Ctsz	174439039
chrX	60436052	60539249	-	Gm7073	60456195
chrX	60436052	60539249	-	Gm7073	60452477
chrX	60436052	60539249	-	Gm7073	60539249
chr14	59133040	59142893	-	1700129C05Rik	59142893
chr17	65578327	65613555	-	Vapa	65613555
chr17	65578327	65613555	-	Vapa	65594970
chr11	94501347	94521742	-	Mycbpap	94507355
chr11	94501347	94521742	-	Mycbpap	94521556
chr11	94501347	94521742	-	Mycbpap	94521742
chr2	155751117	155755471	+	Procr	155751117
chr2	155751117	155755471	+	Procr	155751123
chrX	4800496	4801986	+	Btbd35f4	4800496
chr1	191717834	191784255	+	Lpgat1	191717834
chr1	191717834	191784255	+	Lpgat1	191718389
chr1	191717834	191784255	+	Lpgat1	191718521
chr8	70894722	70897412	-	Rpl18a	70897412
chr8	70894722	70897412	-	Rpl18a	70897396
chr8	70894722	70897412	-	Rpl18a	70897283
chr8	70894722	70897412	-	Rpl18a	70897399
chr1	191045826	191062932	-	Tatdn3	191062932
chr1	191045826	191062932	-	Tatdn3	191062904
chr1	191045826	191062932	-	Tatdn3	191062905
chr12	111406809	111412090	+	Lbhd2	111406809
chrX	124015997	124041521	+	Gm5945	124015997
chr16	78540338	78576708	-	D16Ertd472e	78576634
chr16	78540338	78576708	-	D16Ertd472e	78576657
chr16	78540338	78576708	-	D16Ertd472e	78576647
chr16	78540338	78576708	-	D16Ertd472e	78576708
chr17	24473551	24479078	-	Mlst8	24479055
chr17	24473551	24479078	-	Mlst8	24479078
chr17	24473551	24479078	-	Mlst8	24479043
chr17	24473551	24479078	-	Mlst8	24479060
chr17	24473551	24479078	-	Mlst8	24479038
chr17	24473551	24479078	-	Mlst8	24478261
chr17	56303321	56323486	+	Uhrf1	56303321
chr17	56303321	56323486	+	Uhrf1	56303400
chr17	56303321	56323486	+	Uhrf1	56304313
chr17	56303321	56323486	+	Uhrf1	56304348
chr17	56303321	56323486	+	Uhrf1	56304407
chr1	3999557	4409241	-	Rp1	4409241
chr1	3999557	4409241	-	Rp1	4360314
chr17	27714352	27728955	-	Spdef	27728953
chr17	27714352	27728955	-	Spdef	27728955
chr17	27714352	27728955	-	Spdef	27728924
chr17	27714352	27728955	-	Spdef	27728889
chr14	54431612	54445364	+	Mmp14	54431612
chr14	54431612	54445364	+	Mmp14	54431633
chr14	54431612	54445364	+	Mmp14	54432436
chr9	20468549	20492746	-	Zfp426	20492746
chr9	20468549	20492746	-	Zfp426	20492742
chr9	20468549	20492746	-	Zfp426	20490805
chr9	20468549	20492746	-	Zfp426	20478254
chr9	20468549	20492746	-	Zfp426	20492701
chr9	20468549	20492746	-	Zfp426	20492711
chr9	20468549	20492746	-	Zfp426	20478157
