Chromosome	Start	End	Strand	Gene	Transcription_Start_Site
9	3000922	3002330	+	Gm10722	3000922
JH584292.1	3536	11935	+	Vmn2r122	3573
JH584292.1	3536	11935	+	Vmn2r122	3539
JH584292.1	3536	11935	+	Vmn2r122	3536
Y	41406498	41407040	+	Gm21800	41406498
Y	5248359	5249441	-	Gm21820	5249441
8	60430024	60503198	-	Gm10283	60503198
5	67927261	67946421	-	Gm21905	67946421
GL456233.1	25190	25788	+	CAAA01165726.1	25190
19	24476502	24477356	-	Fam122a	24477356
GL456211.1	160465	162404	-	AC133103.5	162404
9	3036877	3038316	+	Gm10715	3036877
9	3036877	3038316	+	Gm10715	3037111
10	116956824	116972609	-	Gm10271	116972609
14	7640895	7643972	-	Gm10128	7643972
JH584293.1	86316	87710	-	CR974586.5	87710
6	140729284	140756053	+	Gm11077	140729284
2	155735810	155735866	-	Gm17581	155735866
Y	13465037	13465579	-	Gm21866	13465579
8	9864251	9870315	+	Gm10217	9864251
GL456354.1	82993	86051	-	Gm3286	86051
JH584299.1	4975	7356	+	AC123873.3	4975
17	57003405	57011288	-	Gtf2f1	57011288
X	165003765	165004829	-	Gm17604	165004829
8	110082803	110102753	-	Gm17720	110102753
JH584294.1	4164	9702	-	Il11ra2	9702
19	8883930	8887258	+	Gm49403	8883930
15	12321438	12321899	-	1810049J17Rik	12321899
3	137671524	137672540	+	Gm21962	137671524
7	42578466	42578588	-	Gm21028	42578588
GL456210.1	135395	136519	-	AC125149.2	136519
18	31609512	31610751	+	B930094E09Rik	31609512
JH584296.1	130715	133448	-	AC164084.3	133448
JH584294.1	102539	104139	-	Ccl19	104139
2	72971548	72986716	-	Gm11084	72986716
X	7907693	7907835	-	Gm10491	7907835
JH584297.1	31101	33667	+	AC165294.2	31101
Y	40775223	40775765	-	Gm21797	40775765
JH584303.1	81607	82689	+	AC234645.1	81607
14	54976933	54977025	+	Gm17428	54976933
18	34736359	34738014	+	Gm3550	34736359
1	82233112	82235933	+	Gm9747	82233112
Y	17935713	17937330	-	Srsy	17937330
JH584293.1	140956	142665	+	4933409K07Rik	140956
Y	13348521	13349063	-	Gm21725	13349063
5	25222848	25223153	-	E130116L18Rik	25223153
7	5034118	5035246	+	4632433K11Rik	5034118
X	56447965	56448366	+	Gm2174	56447965
18	80089297	80089962	-	Gm21886	80089962
1	133619871	133661380	-	Zc3h11a	133661380
5	88154023	88154099	-	Gm11115	88154099
Y	13941738	13942280	+	Gm21767	13941738
11	31182376	31182462	-	Gm17332	31182462
3	97673031	97674694	-	Gm17651	97674694
5	111733924	111734574	+	Gm26897	111733924
2	140152043	140153532	+	Gm17374	140152043
3	103739366	103746376	+	Gm10964	103739366
18	24709040	24709348	-	Gm9955	24709348
GL456350.1	211325	212455	-	Ccl21b	212455
JH584298.1	168268	170838	-	AC125178.3	170838
15	64817694	64937996	+	Gm21798	64817694
5	98552695	98553744	+	Gm11111	98552695
13	96490733	96491120	+	Gm17622	96490733
17	81441763	81441923	+	Gm11096	81441763
16	15317458	15318957	+	Gm21897	15317458
2	131133497	131134215	+	Gm11037	131133497
7	141029131	141029620	+	Gm17387	141029131
Y	25308278	25309360	-	Gm21773	25309360
19	61296902	61297069	-	Gm21060	61297069
9	3025417	3033289	+	Gm10717	3025417
9	3025417	3033289	+	Gm10717	3026151
9	3025417	3033289	+	Gm10717	3027523
9	3025417	3033289	+	Gm10717	3029195
9	3025417	3033289	+	Gm10717	3030337
9	3025417	3033289	+	Gm10717	3030568
9	3025417	3033289	+	Gm10717	3032085
JH584293.1	83395	84475	-	CR974586.3	84475
3	67365461	67375163	-	Gm17402	67375163
Y	76378662	76379744	+	Gm21776	76378662
JH584297.1	19740	22248	-	AC165294.1	22248
17	57741767	57742219	-	Gm21834	57742219
JH584296.1	195181	197903	-	AC164084.1	197903
GL456211.1	226405	229375	-	AC133103.3	229375
9	85312773	85312860	+	Gm11114	85312773
JH584299.1	837364	840451	+	AC124606.1	837364
X	7909542	7909927	+	Gm10490	7909542
3	107631322	107633090	+	Gm10961	107631322
7	30321740	30323472	+	E130208F15Rik	30321740
JH584295.1	66	1479	-	CAAA01147332.1	1479
18	34840589	34847463	+	Reep2	34840589
GL456350.1	173252	174286	-	AC087559.2	174286
2	104068047	104068550	-	Gm10799	104068550
GL456210.1	9124	58882	-	AC125149.3	58882
19	53371566	53371766	-	Gm10197	53371766
6	95322112	95322210	+	Gm10234	95322112
15	102503722	102503886	+	Gm10337	102503722
9	13444034	13446753	-	Gm17571	13446753
11	6200029	6201643	+	A730071L15Rik	6200029
3	122913070	122919360	-	Gm10959	122919360
19	46328184	46330446	+	Fbxl15	46328184
19	46328184	46330446	+	Fbxl15	46328187
Y	74623896	74624978	+	Gm21913	74623896
15	99702176	99705490	-	Gm17349	99705490
6	115227343	115259294	+	Gm17482	115227343
9	3034599	3035805	+	Gm17535	3034599
17	21691860	21692114	+	Gm10226	21691860
17	86497732	86505232	-	Gm10309	86505232
GL456210.1	108390	110303	-	AC125149.5	110303
10	79910856	79911140	+	Gm26602	79910856
4	88721805	88722842	+	Gm26566	88721805
8	72213494	72213636	-	Gm11034	72213636
1	171895664	171898237	+	Gm10521	171895664
2	150178882	150179679	-	Gm10770	150179679
9	3023547	3025218	+	Gm10718	3023547
Y	13132950	13133492	-	Gm21891	13133492
13	23099071	23100129	+	Vmn1r216	23099071
Y	17845724	17846266	-	Gm21904	17846266
11	62753100	62753498	+	Gm10428	62753100
13	65512678	65512848	+	Gm10139	65512678
JH584299.1	477246	480331	+	Gm16367	477246
JH584299.1	921942	924675	+	AC133095.1	921942
GL456233.1	10738	39148	-	Vamp7	39148
JH584293.1	60162	60827	-	Ccl21b	60827
6	149130170	149130710	+	Gm10203	149130170
GL456212.1	31967	34932	-	AC168977.2	34932
3	54713176	54714353	-	Gm21958	54714353
Y	24795161	24796243	-	Gm21921	24796243
1	85575676	85577295	+	G530012D18Rik	85575676
JH584294.1	137009	137560	+	Gm10931	137009
8	84063561	84065137	-	Gm10643	84065137
1	133321875	133329901	+	Kiss1	133321875
1	133321875	133329901	+	Kiss1	133327212
17	80373218	80373541	-	Gm10190	80373541
8	12278819	12280657	+	A230072I06Rik	12278819
17	39042634	39043341	-	Gm21903	39043341
Y	18061270	18061812	-	Gm21764	18061812
5	72965808	72974702	-	Gm10135	72974702
3	55461985	55472210	-	Gm21954	55472210
9	3017408	3021593	+	Gm10719	3017408
9	3017408	3021593	+	Gm10719	3018753
9	3017408	3021593	+	Gm10719	3020155
16	10812915	10812994	+	Gm11172	10812915
9	124493731	124493793	-	Gm21836	124493793
GL456350.1	23801	25222	-	AC087559.3	25222
2	98666547	98667301	-	Gm10800	98667301
1	173747293	173766943	-	Ifi204	173766919
9	21723483	21749919	+	Ldlr	21723483
9	21723483	21749919	+	Ldlr	21723632
9	46268633	46271919	+	Apoa5	46268633
9	46268633	46271919	+	Apoa5	46269078
1	127814791	127855031	-	Map3k19	127855031
1	127814791	127855031	-	Map3k19	127840320
1	127814791	127855031	-	Map3k19	127840321
1	127814791	127855031	-	Map3k19	127840290
15	79346621	79359076	+	Maff	79346621
15	79346621	79359076	+	Maff	79347520
15	79346621	79359076	+	Maff	79348064
15	79346621	79359076	+	Maff	79348402
8	27197459	27223828	-	Got1l1	27202547
8	27197459	27223828	-	Got1l1	27223828
10	96136603	96136914	+	Gm5426	96136603
1	176733653	176814067	-	Cep170	176755333
1	176733653	176814067	-	Cep170	176814067
1	176733653	176814067	-	Cep170	176793609
1	176733653	176814067	-	Cep170	176756516
1	176733653	176814067	-	Cep170	176750160
1	176733653	176814067	-	Cep170	176782300
1	176733653	176814067	-	Cep170	176807124
19	21778342	21858360	+	Cemip2	21778358
19	21778342	21858360	+	Cemip2	21778368
19	21778342	21858360	+	Cemip2	21778342
X	102119447	102127669	+	Pin4	102119447
2	172472520	172474331	+	Fam209	172472520
11	97663414	97685463	+	Mllt6	97663414
11	97663414	97685463	+	Mllt6	97663572
13	74692368	74808810	-	Cast	74770736
13	74692368	74808810	-	Cast	74808810
13	74692368	74808810	-	Cast	74770649
13	74692368	74808810	-	Cast	74770590
13	74692368	74808810	-	Cast	74807939
13	74692368	74808810	-	Cast	74734261
13	74692368	74808810	-	Cast	74734231
13	74692368	74808810	-	Cast	74808521
17	53479234	53507680	+	Rab5a	53479234
5	147561604	147726011	-	Flt1	147726011
5	147561604	147726011	-	Flt1	147725988
11	94936224	94953042	+	Col1a1	94936224
X	109004534	109013404	-	Hmgn5	109013404
X	102141716	102157091	-	Ercc6l	102157091
14	63992506	64035025	+	Rp1l1	63992506
1	171225054	171226379	+	Apoa2	171225054
1	171225054	171226379	+	Apoa2	171225082
1	171225054	171226379	+	Apoa2	171225084
1	171225054	171226379	+	Apoa2	171225091
7	85944614	85961629	-	Vmn2r74	85961629
14	47387779	47418407	-	Dlgap5	47418407
14	47387779	47418407	-	Dlgap5	47394253
14	47387779	47418407	-	Dlgap5	47418177
14	47387779	47418407	-	Dlgap5	47411666
17	53507460	53539451	-	Pp2d1	53539451
17	28399094	28517527	-	Fkbp5	28486149
17	28399094	28517527	-	Fkbp5	28517524
17	28399094	28517527	-	Fkbp5	28511357
17	28399094	28517527	-	Fkbp5	28486093
17	28399094	28517527	-	Fkbp5	28441722
17	28399094	28517527	-	Fkbp5	28441714
X	102184941	102189394	-	Rps4x	102189394
16	92301286	92313041	+	Smim11	92301286
16	92301286	92313041	+	Smim11	92301296
5	113793729	113800516	-	Tmem119	113800516
5	113793729	113800516	-	Tmem119	113800446
3	129677565	129755316	-	Egf	129755316
3	129677565	129755316	-	Egf	129725087
3	129677565	129755316	-	Egf	129725077
3	115938973	116007406	-	Slc30a7	116007406
3	135825279	135888572	+	Slc39a8	135825279
3	135825279	135888572	+	Slc39a8	135826090
3	135825279	135888572	+	Slc39a8	135825790
3	135825279	135888572	+	Slc39a8	135825657
X	109095365	109197873	+	Sh3bgrl	109095365
3	107612532	107631694	-	Strip1	107631694
12	98429437	98578310	-	Kcnk10	98578310
12	98429437	98578310	-	Kcnk10	98575127
12	98429437	98578310	-	Kcnk10	98574712
6	123821646	123853463	-	Vmn2r25	123853463
17	27655509	27711482	+	Pacsin1	27655509
17	27655509	27711482	+	Pacsin1	27655548
17	27655509	27711482	+	Pacsin1	27655588
17	27655509	27711482	+	Pacsin1	27685181
17	27655509	27711482	+	Pacsin1	27685197
17	27655509	27711482	+	Pacsin1	27685239
17	27655509	27711482	+	Pacsin1	27705649
X	109196756	109200439	+	Gm6377	109196758
X	109196756	109200439	+	Gm6377	109196756
14	54426909	54429756	+	Mrpl52	54426909
14	54426909	54429756	+	Mrpl52	54426930
14	54426909	54429756	+	Mrpl52	54427051
6	123778879	123824912	+	Vmn2r24	123778879
1	135434580	135688105	-	Nav1	135585705
1	135434580	135688105	-	Nav1	135688105
1	135434580	135688105	-	Nav1	135467673
1	135434580	135688105	-	Nav1	135585355
10	80402997	80406830	-	Uqcr11	80406830
15	77403789	77411135	-	Apol9a	77411034
15	77403789	77411135	-	Apol9a	77411135
15	77403789	77411135	-	Apol9a	77406565
14	70601263	70636048	-	Dmtn	70627308
14	70601263	70636048	-	Dmtn	70627054
14	70601263	70636048	-	Dmtn	70635978
14	70601263	70636048	-	Dmtn	70618545
14	70601263	70636048	-	Dmtn	70630154
14	70601263	70636048	-	Dmtn	70628999
14	70601263	70636048	-	Dmtn	70626155
14	70601263	70636048	-	Dmtn	70636048
15	79891659	79915906	+	Apobec3	79891659
15	79891659	79915906	+	Apobec3	79891694
15	79891659	79915906	+	Apobec3	79892403
15	79891659	79915906	+	Apobec3	79892448
15	79891659	79915906	+	Apobec3	79892449
15	79891659	79915906	+	Apobec3	79895023
15	79891659	79915906	+	Apobec3	79895261
15	79891659	79915906	+	Apobec3	79900164
15	79891659	79915906	+	Apobec3	79900342
15	79891659	79915906	+	Apobec3	79892408
10	115368404	115384443	-	Thap2	115384435
10	115368404	115384443	-	Thap2	115384410
10	115368404	115384443	-	Thap2	115384443
1	171229572	171234365	-	Fcer1g	171234365
1	171229572	171234365	-	Fcer1g	171234307
2	35558266	35730994	+	Dab2ip	35622160
2	35558266	35730994	+	Dab2ip	35710327
2	35558266	35730994	+	Dab2ip	35696732
2	35558266	35730994	+	Dab2ip	35581060
2	35558266	35730994	+	Dab2ip	35558266
2	35558266	35730994	+	Dab2ip	35691994
2	35558266	35730994	+	Dab2ip	35622037
2	35558266	35730994	+	Dab2ip	35582840
2	35558266	35730994	+	Dab2ip	35692333
8	85408759	85432833	-	4921524J17Rik	85432833
2	155701677	155729475	-	Edem2	155729475
2	103453849	103485160	-	Cat	103485160
2	103453849	103485160	-	Cat	103485125
6	49395604	49469501	+	Stk31	49395604
6	49395604	49469501	+	Stk31	49395635
6	49395604	49469501	+	Stk31	49438564
15	79516411	79527739	+	Kdelr3	79516411
5	113818536	113832644	-	Selplg	113819566
5	113818536	113832644	-	Selplg	113830501
5	113818536	113832644	-	Selplg	113819257
5	113818536	113832644	-	Selplg	113819317
5	113818536	113832644	-	Selplg	113832644
7	49778346	49858265	+	Prmt3	49778346
4	110203722	110351909	-	Elavl4	110351909
4	110203722	110351909	-	Elavl4	110287527
4	110203722	110351909	-	Elavl4	110286889
4	110203722	110351909	-	Elavl4	110290272
4	110203722	110351909	-	Elavl4	110292722
4	110203722	110351909	-	Elavl4	110290893
4	110203722	110351909	-	Elavl4	110286616
11	115415689	115419962	-	Atp5h	115419917
11	115415689	115419962	-	Atp5h	115419962
11	115415689	115419962	-	Atp5h	115418741
11	115415689	115419962	-	Atp5h	115418507
1	191036639	191042942	+	Spata45	191036639
1	191036639	191042942	+	Spata45	191036819
X	60223290	60592698	-	Atp11c	60592698
X	60223290	60592698	-	Atp11c	60403981
1	57377620	57385423	+	1700066M21Rik	57377620
X	123346764	123378718	+	Gm2411	123346764
X	99465734	99471273	-	Pja1	99471273
X	99465734	99471273	-	Pja1	99470692
X	99465734	99471273	-	Pja1	99470672
X	99465734	99471273	-	Pja1	99470687
X	99465734	99471273	-	Pja1	99470735
3	118562129	119432924	+	Dpyd	118562129
3	118562129	119432924	+	Dpyd	118562180
X	123576286	123602172	+	Cldn34c2	123576286
X	123576286	123602172	+	Cldn34c2	123581700
14	64075438	64090162	-	Prss55	64085451
14	64075438	64090162	-	Prss55	64085408
7	86145286	86171778	-	Vmn2r75	86171778
15	76477422	76501913	+	Hsf1	76477435
15	76477422	76501913	+	Hsf1	76477445
15	76477422	76501913	+	Hsf1	76477574
15	76477422	76501913	+	Hsf1	76498236
15	76477422	76501913	+	Hsf1	76499966
1	173849126	173880881	-	Mndal	173875860
1	173849126	173880881	-	Mndal	173880305
1	173849126	173880881	-	Mndal	173880111
12	118234933	118301440	-	Sp4	118301370
12	118234933	118301440	-	Sp4	118301368
12	118234933	118301440	-	Sp4	118301440
3	153844209	153855082	+	Asb17	153844209
13	96648967	96670936	-	Hmgcr	96670936
13	96648967	96670936	-	Hmgcr	96652803
13	96648967	96670936	-	Hmgcr	96666710
13	96648967	96670936	-	Hmgcr	96656667
13	96648967	96670936	-	Hmgcr	96670823
13	96648967	96670936	-	Hmgcr	96669654
13	96648967	96670936	-	Hmgcr	96670482
14	64086234	64097678	+	Prss51	64086234
14	64086234	64097678	+	Prss51	64093685
14	64086234	64097678	+	Prss51	64093696
14	64086234	64097678	+	Prss51	64093726
3	137931007	137981545	-	Dapp1	137981545
3	137931007	137981545	-	Dapp1	137981536
3	79336661	79464129	+	Gm17359	79336661
3	79336661	79464129	+	Gm17359	79345376
3	79336661	79464129	+	Gm17359	79345379
3	79455974	79567796	-	Fnip2	79567796
3	79455974	79567796	-	Fnip2	79567682
3	79455974	79567796	-	Fnip2	79531876
1	65282056	65389244	+	Pth2r	65282056
1	65282056	65389244	+	Pth2r	65311257
17	12584132	12628488	+	Slc22a2	12584132
17	12584132	12628488	+	Slc22a2	12584193
2	174415804	174427502	+	Nelfcd	174415804
2	174415804	174427502	+	Nelfcd	174415851
2	127838876	128123873	+	Acoxl	127854628
2	127838876	128123873	+	Acoxl	127909058
17	53566861	53672720	+	Kat2b	53566971
17	53566861	53672720	+	Kat2b	53584126
17	53566861	53672720	+	Kat2b	53644697
X	48341358	48408049	+	Bcorl1	48341358
X	48341358	48408049	+	Bcorl1	48343770
X	48341358	48408049	+	Bcorl1	48361620
X	48341358	48408049	+	Bcorl1	48369268
8	70882889	70892757	-	Slc5a5	70892757
5	108729290	108774982	-	Rnf212	108750955
5	108729290	108774982	-	Rnf212	108774982
5	108729290	108774982	-	Rnf212	108750918
5	108729290	108774982	-	Rnf212	108774953
5	108729290	108774982	-	Rnf212	108749448
3	136053363	136326066	-	Bank1	136326046
3	136053363	136326066	-	Bank1	136326066
3	136053363	136326066	-	Bank1	136326025
7	123214780	123273253	+	Slc5a11	123214780
7	123214780	123273253	+	Slc5a11	123214813
7	123214780	123273253	+	Slc5a11	123228884
7	123214780	123273253	+	Slc5a11	123240323
7	123214780	123273253	+	Slc5a11	123235620
9	14756587	14771030	-	1700012B09Rik	14771013
9	14756587	14771030	-	1700012B09Rik	14771030
1	33852052	33907816	-	Bend6	33907768
1	33852052	33907816	-	Bend6	33907791
1	33852052	33907816	-	Bend6	33907816
15	79041885	79043558	+	Galr3	79041885
15	77940522	77956722	-	Foxred2	77956722
15	77940522	77956722	-	Foxred2	77956675
15	79030874	79038353	+	Gcat	79030874
15	79030874	79038353	+	Gcat	79033498
12	118846329	118852576	+	Sp8	118846329
12	118846329	118852576	+	Sp8	118847586
11	75768966	75796049	-	Doc2b	75796049
18	84838704	84879871	+	Cyb5a	84851338
18	84838704	84879871	+	Cyb5a	84851879
5	129846986	129864050	+	Sumf2	129846986
5	129846986	129864050	+	Sumf2	129847011
10	81393051	81395392	+	Smim24	81393051
10	81393051	81395392	+	Smim24	81393627
X	99821021	99848790	+	Tmem28	99821021
11	49543449	49556127	+	Olfr1381	49543449
11	49543449	49556127	+	Olfr1381	49551749
11	104502745	104550620	-	Cdc27	104550483
11	104502745	104550620	-	Cdc27	104550392
11	104502745	104550620	-	Cdc27	104550478
14	64950045	65039835	+	Ints9	64950045
1	85484252	85485142	-	AC147806.1	85485142
11	49556878	49565859	+	Olfr1380	49556878
11	49556878	49565859	+	Olfr1380	49563923
17	12648869	12675829	-	Slc22a1	12675829
4	126150602	126163491	-	Sh3d21	126162626
4	126150602	126163491	-	Sh3d21	126163491
4	57984027	58009124	-	Txndc8	58009124
4	57984027	58009124	-	Txndc8	58000310
2	54436317	55118309	+	Galnt13	54436317
2	54436317	55118309	+	Galnt13	54436387
2	54436317	55118309	+	Galnt13	54436491
2	54436317	55118309	+	Galnt13	54516540
X	8123301	8132892	-	Wdr13	8132808
X	8123301	8132892	-	Wdr13	8132770
X	8123301	8132892	-	Wdr13	8132820
X	8123301	8132892	-	Wdr13	8132845
12	30054659	30132624	-	Tpo	30132624
12	30054659	30132624	-	Tpo	30131899
15	79030901	79042531	+	Gcat	79030901
8	85492576	85527560	+	Gpt2	85492576
7	139248482	139269903	+	Pwwp2b	139248482
7	139248482	139269903	+	Pwwp2b	139248487
5	120534153	120588673	-	Tpcn1	120588673
17	24473884	24475469	+	Bricd5	24473884
17	24473884	24475469	+	Bricd5	24473901
17	24473884	24475469	+	Bricd5	24473967
2	174427493	174439039	-	Ctsz	174439039
X	60436052	60539249	-	Gm7073	60456195
X	60436052	60539249	-	Gm7073	60452477
X	60436052	60539249	-	Gm7073	60539249
14	59133040	59142893	-	1700129C05Rik	59142893
17	65578327	65613555	-	Vapa	65613555
17	65578327	65613555	-	Vapa	65594970
11	94501347	94521742	-	Mycbpap	94507355
11	94501347	94521742	-	Mycbpap	94521556
11	94501347	94521742	-	Mycbpap	94521742
2	155751117	155755471	+	Procr	155751117
2	155751117	155755471	+	Procr	155751123
X	4800496	4801986	+	Btbd35f4	4800496
1	191717834	191784255	+	Lpgat1	191717834
1	191717834	191784255	+	Lpgat1	191718389
1	191717834	191784255	+	Lpgat1	191718521
8	70894722	70897412	-	Rpl18a	70897412
8	70894722	70897412	-	Rpl18a	70897396
8	70894722	70897412	-	Rpl18a	70897283
8	70894722	70897412	-	Rpl18a	70897399
1	191045826	191062932	-	Tatdn3	191062932
1	191045826	191062932	-	Tatdn3	191062904
1	191045826	191062932	-	Tatdn3	191062905
12	111406809	111412090	+	Lbhd2	111406809
X	124015997	124041521	+	Gm5945	124015997
16	78540338	78576708	-	D16Ertd472e	78576634
16	78540338	78576708	-	D16Ertd472e	78576657
16	78540338	78576708	-	D16Ertd472e	78576647
16	78540338	78576708	-	D16Ertd472e	78576708
17	24473551	24479078	-	Mlst8	24479055
17	24473551	24479078	-	Mlst8	24479078
17	24473551	24479078	-	Mlst8	24479043
17	24473551	24479078	-	Mlst8	24479060
17	24473551	24479078	-	Mlst8	24479038
17	24473551	24479078	-	Mlst8	24478261
17	56303321	56323486	+	Uhrf1	56303321
17	56303321	56323486	+	Uhrf1	56303400
17	56303321	56323486	+	Uhrf1	56304313
17	56303321	56323486	+	Uhrf1	56304348
17	56303321	56323486	+	Uhrf1	56304407
1	3999557	4409241	-	Rp1	4409241
1	3999557	4409241	-	Rp1	4360314
17	27714352	27728955	-	Spdef	27728953
17	27714352	27728955	-	Spdef	27728955
17	27714352	27728955	-	Spdef	27728924
17	27714352	27728955	-	Spdef	27728889
14	54431612	54445364	+	Mmp14	54431612
14	54431612	54445364	+	Mmp14	54431633
14	54431612	54445364	+	Mmp14	54432436
9	20468549	20492746	-	Zfp426	20492746
9	20468549	20492746	-	Zfp426	20492742
9	20468549	20492746	-	Zfp426	20490805
9	20468549	20492746	-	Zfp426	20478254
9	20468549	20492746	-	Zfp426	20492701
9	20468549	20492746	-	Zfp426	20492711
9	20468549	20492746	-	Zfp426	20478157
5	34525838	34563641	+	Sh3bp2	34525838
5	34525838	34563641	+	Sh3bp2	34525846
5	34525838	34563641	+	Sh3bp2	34543365
5	34525838	34563641	+	Sh3bp2	34549576
5	34525838	34563641	+	Sh3bp2	34549688
15	81363669	81400077	-	St13	81400043
15	81363669	81400077	-	St13	81399594
15	81363669	81400077	-	St13	81399383
15	81363669	81400077	-	St13	81400077
15	81363669	81400077	-	St13	81400073
6	124024568	124065806	+	Vmn2r26	124024568
17	37297556	37304313	-	Olfr101	37302632
17	37297556	37304313	-	Olfr101	37304313
17	37297556	37304313	-	Olfr101	37300484
X	73774405	73778925	+	Srpk3	73774405
11	120608477	120609093	+	Npb	120608477
11	120608477	120609093	+	Npb	120608505
5	92006074	92043883	-	Cdkl2	92043041
5	92006074	92043883	-	Cdkl2	92043042
5	92006074	92043883	-	Cdkl2	92042696
5	92006074	92043883	-	Cdkl2	92042672
5	92006074	92043883	-	Cdkl2	92031085
14	59158503	59178749	-	Gm5142	59178749
13	73604006	73620605	+	Clptm1l	73604006
5	30367062	30461932	-	Otof	30461902
5	30367062	30461932	-	Otof	30461932
2	33560965	33640608	-	Lmx1b	33640608
2	33560965	33640608	-	Lmx1b	33640480
2	33560965	33640608	-	Lmx1b	33640511
8	107580381	107588464	-	Psmd7	107588464
5	129863421	129898549	-	Phkg1	129879083
5	129863421	129898549	-	Phkg1	129874105
5	129863421	129898549	-	Phkg1	129898549
17	37311795	37317054	-	Olfr102	37317054
17	37311795	37317054	-	Olfr102	37314437
1	180568924	180601254	+	Parp1	180568929
1	180568924	180601254	+	Parp1	180569226
1	180568924	180601254	+	Parp1	180598988
15	79915807	79971119	-	Cbx7	79932652
15	79915807	79971119	-	Cbx7	79932639
15	79915807	79971119	-	Cbx7	79932540
15	79915807	79971119	-	Cbx7	79933899
15	79915807	79971119	-	Cbx7	79971119
15	79915807	79971119	-	Cbx7	79971118
15	79915807	79971119	-	Cbx7	79932516
17	27580780	27635222	-	Gm49804	27635222
18	84946191	84951524	-	Timm21	84951524
17	27838150	27851968	+	Snrpc	27838150
17	27838150	27851968	+	Snrpc	27840135
17	27838150	27851968	+	Snrpc	27840155
17	27838150	27851968	+	Snrpc	27840087
17	37334303	37339698	-	Olfr103	37339698
